category,exercise,equipment,steps,cues_feel,good_for,why_do_it,regressions,progressions,cautions,sources,tag_goal,tag_area,tag_feel,tag_intensity,tag_time_cost,tag_equipment,tag_pattern,tag_contra
Daily Stretches,Standing quadriceps stretch,Muur/stoel,"1) Houd steun. 2) Pak enkel, breng hiel richting bil. 3) Knieën bij elkaar, heupen ‘onder’ je. 30–60 sec; wissel.",Rek voorkant bovenbeen; geen kniepijn.,"Quadriceps/voorzijde heup, handig bij lang zitten of veel fietsen.",Veel mensen hebben strakke quadriceps/hip flexors door zitten.,"Hiel minder hoog, of liggend met band.",Heup iets verder strekken (glute aanspannen).,Kniepijn: kies alternatief (prone quad stretch met band).,https://orthoinfo.aaos.org/en/recovery/knee-conditioning-program/,mobility,knee,stiff_tight,low,short,chair_step|wall,mobility,
Daily Stretches,Supine hamstring stretch,Handdoek/band optioneel,"1) Ruglig, één been omhoog. 2) Houd achter dij/kuit (niet knieholte). 3) Strek knie richting comfortabel. 30–60 sec; wissel.",Rek achterkant dij/achter knie; geen zenuw-tinteling.,Hamstrings; vaak relevant voor rug-/heupgevoel en stappen.,Hamstrings worden vaak stijf door veel zitten.,Knie iets gebogen houden.,"Actief: voet naar je toe trekken, of PNF (5 sec spanning).","Tinteling/elektrisch gevoel: minder hoog, knie buigen, stop als het blijft.",https://orthoinfo.aaos.org/en/recovery/knee-conditioning-program/,mobility,general,stiff_tight,low,short,band|towel,mobility,
Daily Stretches,Hip flexor stretch (half-kneeling),Vloer (mat),"1) Kniel, één voet voor. 2) Span bil van achterste been en kantel bekken licht ‘achterover’. 3) Duw heup zacht naar voren. 30–60 sec; wissel.",Rek voorzijde heup/lies achterste been; lage rug blijft neutraal.,Heupflexoren; garandeert vaak minder ‘trek’ in onderrug bij zitten.,Een klassieker tegen ‘desk hips’.,"Kleinere stap, steun op stoel.",Arm van achterste been omhoog + zijwaarts reiken.,Knie op zachte ondergrond; liespijn = verklein range.,https://www.hss.edu/health-library/move-better/hip-flexor-stretch ; https://www.whittington.nhs.uk/default.asp?c=47051,mobility,hip_glute|knee,stiff_tight,low,short,mat,mobility,kneeling
Daily Stretches,Figure-4 glute stretch (piriformis),Vloer,"1) Ruglig, kruis enkel over andere knie. 2) Trek dij naar je toe. 3) 30–60 sec; wissel.",Rek/druk in bil; geen kniepijn door trekken aan knie.,Billen/achterheup; prettig bij stijf zitten.,Veel mensen voelen direct ‘ruimte’ in heup/bil.,"Alleen kruis en licht druk, zonder trekken.",Zittend variant op stoel.,Heup-impingement gevoel: minder diep.,https://www.massgeneral.org/assets/mgh/pdf/orthopaedics/sports-medicine/physical-therapy/mass-general-hip-exercises.pdf,mobility,hip_glute,stiff_tight,low,short,,mobility,
Daily Stretches,Child’s pose,Vloer,"1) Kniel, billen richting hielen. 2) Armen lang voor je, voorhoofd naar vloer. 3) 30–60 sec rustig ademen.",Rek in rug/lats; knieën moeten oké voelen.,"Rug/borstkas ‘ontspanning’, zachte schouder-opening.",Snel ‘downshift’ na werkdag of training.,Kussen onder billen of borst.,Zijwaarts ‘walk’ met handen voor lat-rek.,Knieklachten: kussen/andere houding.,https://www.arthritis-uk.org/information-and-support/living-with-arthritis/health-and-wellbeing/exercising-with-arthritis/exercises-for-healthy-joints/exercises-for-the-back/,mobility,thoracic,stiff_tight,low,short,,mobility,
Daily Stretches,Cat-cow (arching & hollowing),Vloer,"1) Vierpoot. 2) Bol rug (kin iets in), 3) Hol rug (borst vooruit), rustig wisselen 8–12 reps.",Zachte mobiliteit door wervelkolom; geen ‘knik’ pijn.,"Rugmobiliteit, ‘reset’ na zitten.",Dynamische stretch die weinig risico geeft.,Kleinere beweging.,Langzamer + adem koppelen.,Acute rugpijn: heel klein en pijnvrij.,https://www.arthritis-uk.org/information-and-support/living-with-arthritis/health-and-wellbeing/exercising-with-arthritis/exercises-for-healthy-joints/exercises-for-the-back/,mobility,thoracic,stiff_tight,low,short,,mobility,wrists_load
Daily Stretches,Thoracic rotation (open book),Vloer,"1) Zijlig, knieën gebogen. 2) Armen gestrekt voor je. 3) Bovenste arm opent naar andere kant, volg met blik. 6–10 reps per kant.",Rek in borst/borstkas; onderrug blijft relatief stil.,Borstwervelkolom rotatie (handig voor ‘stijve bovenrug’).,Veel mensen compenseren met onderrug omdat bovenrug vastzit.,Kleiner bereik.,Langere pauze open (2–3 sec).,Schouderpijn: arm gebogen houden.,https://www.nhs.uk/live-well/exercise/flexibility-exercises/,mobility,thoracic,stiff_tight,low,short,,mobility,
Daily Stretches,Doorway pec stretch,Deurpost,"1) Onderarm tegen deurpost, elleboog ±90°. 2) Stap met zelfde been naar voren en draai romp weg. 30–45 sec; wissel.",Rek borstspier voorzijde schouder; geen ‘pinch’ in schouder.,"Borst/voorzijde schouder, tegenhanger van ‘rond zitten’.",Helpt vaak bij ‘schouders naar voren’ gevoel.,"Elleboog lager, minder draai.",Andere hoogte (hoger/lager) voor andere vezels.,"Impingement-gevoel: lager en zachter, of stop.",https://www.worcsacute.nhs.uk/documents/documents/patient-information-leaflets-a-z/stretching-exercises-physiotherapy/?layout=file,mobility|posture,shoulder,stiff_tight,low,short,wall,mobility,
Daily Stretches,Neck side bend stretch (upper traps),Stoel,1) Zit recht. 2) Laat oor naar schouder zakken (niet optrekken). 3) Eventueel lichte handdruk. 20–30 sec per kant.,Rek zijkant nek/schouder; geen tinteling in arm.,Nekspanning door beeldscherm/telefonie.,Snel toepasbaar als microbreak.,Zonder handdruk.,Extra: kin iets intrekken.,Tinteling/uitstraling: stop en laat checken.,https://www.worcsacute.nhs.uk/documents/documents/patient-information-leaflets-a-z/stretching-exercises-physiotherapy/?layout=file,mobility,neck,stiff_tight,low,short,chair_step,mobility,
Daily Stretches,Sideways bend (lower back),Geen,"1) Sta recht, voeten heupbreed. 2) Glijd hand langs dij naar beneden. 3) 2 sec vasthouden, 3 reps per kant.",Rek zijkant romp/heup; geen scherpe rugpijn.,Lage-rug flexibiliteit (mild).,Makkelijke ‘even los’ beweging gedurende de dag.,Kleiner bereik.,Langere hold.,Acute rugpijn: klein en pijnvrij.,https://www.nhs.uk/live-well/exercise/flexibility-exercises/,mobility,general,stiff_tight,low,medium,none,general,
Rehabilitation,Pelvic tilt (ruglig),Vloer/bed,"1) Ruglig, knieën gebogen. 2) Kantel bekken zodat onderrug zacht richting vloer gaat. 3) Houd 2 sec, laat los. 10–15 reps.",Lichte spanning onderbuik/bil; geen pijnscheut in rug.,"Lage-rug controle, ‘neutral spine’ leren.",Basisbeweging die vaak startpunt is in rugrevalidatie.,"Kleiner bereik, of zittend.",Combineer met marching (om en om knie optillen).,Stop als klachten toenemen of uitstralen.,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/neck-and-back-problems-and-conditions/exercises-for-back-pain/ ; https://www.wwl.nhs.uk/media/.leaflets/6214e7c8e2e1f0.63708939.pdf,rehab|stability,lowback_core,sensitive_overloaded|unstable_weak,low,medium,,core,
Rehabilitation,Bridge (spine/hip),Vloer,"1) Ruglig, knieën gebogen. 2) Span buik/billen, til heupen tot rechte lijn. 3) Houd 5–15 sec, terug. 5–10 reps.",Bilspieren werken; nek/onderrug ontspannen.,"Core + heupstabiliteit, lage-rug ondersteuning.",Klassieker in rug/heup revalidatie omdat hij schaalbaar is.,Kleiner bereik.,1-benige bridge of voeten op verhoging.,"Kramp hamstrings: focus op bil aanspannen, voeten verplaatsen.",https://orthoinfo.aaos.org/globalassets/pdfs/2017-rehab_spine.pdf,rehab|stability,hip_glute,sensitive_overloaded|unstable_weak,low,medium,,core,
Rehabilitation,Bird dog,Vloer,"1) Vierpoot. 2) Strek één arm en tegenovergesteld been. 3) Houd 5 sec, wissel. 6–10 per kant.","Core stabiliteit, rug blijft stil; heupen niet draaien.","Rompstabiliteit (anti-rotatie), rugrevalidatie.",Leert controle in ‘functionele’ diagonale patronen.,Alleen arm of alleen been.,"Langere hold, knie/elleboog ‘tuck’ en weer strekken.",Pijn in onderrug: kleiner bereik en langzamer.,https://orthoinfo.aaos.org/globalassets/pdfs/2017-rehab_spine.pdf,rehab|stability,lowback_core,sensitive_overloaded|unstable_weak,low,medium,,core,wrists_load
Rehabilitation,Clamshell,Vloer (optioneel miniband),"1) Zijlig, heupen/knieën gebogen. 2) Hielen bij elkaar, open bovenste knie zonder bekken te draaien. 3) 2–3×10–15.",Brand in zijkant bil (glute med). Niet in onderrug.,"Heupstabiliteit, knieën ‘tracken’, vaak bij knie/heupklachten.",Veelgebruikt omdat glute med vaak onderactief is.,"Kleiner bereik, zonder band.","Miniband, of side-lying hip abduction.",Heup/liespijn: kleiner bereik.,https://www.massgeneral.org/assets/mgh/pdf/orthopaedics/sports-medicine/physical-therapy/mass-general-hip-exercises.pdf,rehab|stability,hip_glute,sensitive_overloaded|unstable_weak,low,medium,band,general,
Rehabilitation,Side-lying hip abduction,Vloer,"1) Zijlig, onderste been gebogen, bovenste been gestrekt. 2) Til bovenste been tot ±45° zonder heup te draaien. 3) 2–3×10–15.",Zijkant bil/heup. Niet in TFL/voorzijde heup (probeer teen iets omlaag).,"Glute med kracht, heup-/knie-stabiliteit.","Sterke basis voor lopen, traplopen, hardlopen.",Kleiner bereik.,"Miniband, of standing hip abduction.",Lage-rug compensatie: romp stabiel houden.,https://www.massgeneral.org/assets/mgh/pdf/orthopaedics/sports-medicine/physical-therapy/mass-general-hip-exercises.pdf,rehab,hip_glute,sensitive_overloaded|unstable_weak,low,medium,,general,
Rehabilitation,Scapular squeeze (shoulder blade set),Geen/band optioneel,"1) Zit/sta recht. 2) Trek schouderbladen zacht naar achter en omlaag (alsof je ze in je achterzak stopt). 3) Houd 3–5 sec, 10–15 reps.","Werken tussen schouderbladen, nek blijft lang.","Schouderbladcontrole, vaak basis bij nek/schouderklachten.",Schouderfunctie staat of valt met scapula.,Minder hard knijpen (subtiel).,Band row of wall angels.,Geen schouders optrekken.,https://orthoinfo.aaos.org/globalassets/pdfs/2017-rehab_shoulder.pdf,posture|rehab,shoulder,sensitive_overloaded|unstable_weak,low,medium,band,pull_scapula,
Rehabilitation,"Shoulder external rotation (band, elbow at side)",Weerstandsband + deurknop,1) Band aan stabiel punt. 2) Elleboog 90° tegen ribben. 3) Draai onderarm naar buiten tegen weerstand. 3×8–12.,Achterzijde schouder (rotator cuff). Geen ‘pinch’ voorin.,"Rotator cuff stabiliteit, schouderrevalidatie.",Klassieker omdat rotator cuff vaak zwak/overbelast is.,"Lichtere band, kleiner bereik.",Arm in 90° abductie variant.,Pijn > mild ongemak: stop/aanpassen.,https://orthoinfo.aaos.org/en/recovery/rotator-cuff-and-shoulder-conditioning-program/,mobility|rehab,shoulder,sensitive_overloaded|unstable_weak,low,medium,band|wall,mobility|pull_scapula,
Rehabilitation,Heel slides (knee ROM),Vloer/bed,"1) Ruglig, been gestrekt. 2) Schuif hiel richting billen tot comfortabele buiging. 3) Schuif terug. 10–20 reps.",Rek/druk rond knie; geen scherpe pijn.,Knie bewegingsuitslag (na stijfheid/irritatie).,Veelgebruikt om ROM terug te winnen.,"Kleiner bereik, handdoek om voet als hulp.",Hold 2–3 sec in eindstand.,Na operatie: volg protocol arts/fysio.,https://orthoinfo.aaos.org/globalassets/pdfs/2017-rehab_knee.pdf,rehab,knee,sensitive_overloaded|unstable_weak,low,medium,,general,
Rehabilitation,Quad set (isometric),Vloer/bed,1) Been gestrekt. 2) Span bovenbeen aan door knie ‘plat’ te duwen. 3) Houd 5–10 sec. 10–20 reps.,Spanning bovenop bovenbeen; knie beweegt nauwelijks.,"Quadriceps activatie, knie stabiliteit (post-injury/post-op).",Een van de eerste veilige stappen na knie-irritatie.,Kortere holds.,Straight leg raise.,"Pijn in knie: minder hard, of stop.",https://www.adkjointsurgery.com/_uploads/files/Total%20Knee%20Replacement%20Exercise%20Guide-OrthoInfo%20-%20AAOS.pdf,rehab,knee,sensitive_overloaded|unstable_weak,low,medium,,general,
Rehabilitation,Straight leg raise,Vloer/bed,"1) Ruglig, één knie gebogen, andere been gestrekt. 2) Span quad (quad set). 3) Til gestrekte been 20–30 cm, houd 5 sec, terug. 3×10.",Quadriceps + heupflexor. Onder rug blijft rustig.,Quadricepskracht zonder diepe knieflexie.,Veel gebruikt na knieklachten/operaties.,Lagere lift/ minder reps.,Enkelgewichtje toevoegen (later).,Heupflexor irritatie: reduceer volume.,https://www.adkjointsurgery.com/_uploads/files/Total%20Knee%20Replacement%20Exercise%20Guide-OrthoInfo%20-%20AAOS.pdf,rehab,knee,sensitive_overloaded|unstable_weak,low,medium,,general,
Rehabilitation,Wall slide / wall angel,Muur,"1) Rug tegen muur, ribben ‘laag’. 2) Armen tegen muur (W). 3) Schuif langzaam omhoog en omlaag pijnvrij. 8–12 reps.",Bovenrug/achter schouder werken; voorkant schouder blijft rustig.,Schoudermobiliteit + scapula controle.,Goede ‘posture + shoulder mechanics’ combo.,"Kleinere range, handen los van muur mag.",Langzamer + pause.,Pijn voorzijde schouder: kleiner bereik.,https://orthoinfo.aaos.org/globalassets/pdfs/2017-rehab_shoulder.pdf,posture|rehab,shoulder,sensitive_overloaded|unstable_weak,low,medium,wall,general,overhead_load|wrists_load
Strength,Sit-to-stand (chair squat),Stevige stoel,"1) Zit vooraan stoel, voeten onder knieën. 2) Sta op zonder ‘ploffen’ of handen (of met). 3) Ga gecontroleerd terug. 2–3×8–12.",Benen/billen werken; knieën volgen richting tenen.,"Basisbeen-kracht, dagelijks functioneren.",Super functioneel en meetbaar progressief.,"Hoger zitvlak, handen gebruiken.","Langzamer zakken, lager zitvlak, gewicht vasthouden.",Kniepijn: verklein range of check techniek.,https://www.nhs.uk/live-well/exercise/strength-exercises/ ; https://www.wwl.nhs.uk/media/.leaflets/6214e7c8e2e1f0.63708939.pdf,strength,knee,unstable_weak,medium,medium,chair_step,squat_pattern,deep_knee_flex
Strength,Bodyweight squat,Geen (optioneel gewicht),"1) Voeten heup/schouderbreed. 2) Heupen naar achter, knieën buigen. 3) Romp stevig, kom omhoog. 2–4×6–12.",Bovenbenen/billen; voetdruk verdeeld (hiel/voorvoet).,"Been- en heupkracht, mobiliteit onder belasting.","Fundament voor bijna alles (trap, tillen, sport).",Box squat naar stoel.,"Goblet squat, tempo (3 sec zakken).","Knie naar binnen: verklein diepte, focus op knieën over tenen.",https://www.nhs.uk/live-well/exercise/strength-exercises/,strength,knee,unstable_weak,medium,medium,weights,squat_pattern,deep_knee_flex
Strength,Lunge (split squat),Geen,1) Stap in split-stance. 2) Zak recht naar beneden tot beide knieën ±90°. 3) Duw via voorvoet/hiel omhoog. 2–3×8 per kant.,Voorste been bil/quad; romp recht.,"Unilaterale beenkracht, balans, heupstabiliteit.",Lost links-rechts verschillen op; goed voor knieën/heupen als techniek klopt.,"Kleinere range, steun aan muur.","Dumbbells, walking lunges.","Kniepijn: verklein stap/hoek, check knie over voet.",https://www.kentmedwaymentalhealth.nhs.uk/media/2610/km1237-physiotherapy-strength-exercise-guide-1.pdf,strength,hip_glute|knee,unstable_weak,medium,medium,none,single_leg|squat_pattern,deep_knee_flex
Strength,Push-up (incline if needed),Vloer/muur/tafel,"1) Handen onder schouders. 2) Romp plank-stijf. 3) Zak gecontroleerd, duw op. 2–4×6–15.","Borst, triceps, core; schouders niet in oren.","Bovenlichaam duwkracht, core.",Klassieke ‘compound’ zonder materiaal.,"Muur/tafel push-up, knieën op vloer.","Lagere incline, pause onderin.",Pols/schouderpijn: handen op verhoging/grepen.,https://www.nhs.uk/live-well/exercise/strength-exercises/,strength,shoulder,unstable_weak,medium,medium,wall,push,wrists_load
Strength,Row (band row),Weerstandsband,"1) Band om stevig punt. 2) Trek ellebogen langs lichaam naar achter. 3) Knijp schouderbladen, langzaam terug. 2–4×8–15.",Rugspieren tussen schouderbladen; nek relaxed.,"Trek-kracht, schouderbalans t.o.v. push.",Veel mensen doen te veel ‘push’ en te weinig ‘pull’.,"Lichtere band, kortere ROM.","Zwaardere band, single-arm row.",Geen schouders optrekken.,https://www.nhs.uk/live-well/exercise/strength-exercises/ ; https://orthoinfo.aaos.org/en/recovery/rotator-cuff-and-shoulder-conditioning-program/,strength,shoulder,unstable_weak,medium,medium,band,pull_scapula,
Strength,Hip hinge (Romanian deadlift pattern),Geen/gewicht,"1) Voeten heupbreed. 2) ‘Scharnier’ vanuit heup: billen naar achter, rug neutraal. 3) Voel hamstrings, kom terug. 2–4×6–12.",Hamstrings/billen op rek onder spanning; rug blijft ‘lang’.,"Posterior chain, tillen-vaardigheid.",Beschermt rug door heupen te leren gebruiken.,Hinge naar muur (billen tikken muur).,"Dumbbells/kettlebell, tempo eccentrisch.","Rugpijn: verklein range, check neutral spine.",https://www.nhs.uk/live-well/exercise/strength-exercises/,strength,hip_glute,unstable_weak,medium,medium,weights,hinge_pattern,
Strength,Plank,Vloer,"1) Ellebogen onder schouders. 2) Romp in rechte lijn, billen licht aangespannen. 3) Houd 20–60 sec, 2–4 sets.","Core overal, maar vooral onderbuik; lage rug mag niet ‘doorhangen’.","Core-uithouding, transfer naar veel bewegingen.",Eenvoudige meetbare core-basis.,"Knieën op vloer, kortere holds.","RKC plank (harder aanspannen), shoulder taps.","Rugpijn: korter en strakker, of alternatief (dead bug).",https://www.nhs.uk/live-well/exercise/strength-exercises/,stability|strength,lowback_core,unstable_weak,medium,medium,,core,wrists_load
Strength,Side plank,Vloer,"1) Op zij, onderarm onder schouder. 2) Heupen omhoog, romp recht. 3) Houd 15–45 sec per kant, 2–3 sets.",Zijkant core + heup (glute med).,"Laterale core, heupstabiliteit.",Goede tegenhanger van ‘rechte’ plank.,Knieën gebogen op vloer.,"Top-leg raise, Copenhagen variant.",Schouderpijn: hand op verhoging of stop.,https://www.nhs.uk/live-well/exercise/strength-exercises/,stability|strength,lowback_core,unstable_weak,medium,medium,,core|core_lateral,wrists_load
Strength,Calf raises,Traprand optioneel,"1) Sta recht. 2) Kom langzaam op tenen, langzaam terug. 2–3×12–20.",Kuit brand; enkel stabiel.,"Kuitkracht, enkelstabiliteit.","Helpt bij lopen, trap, springen; simpele ‘finisher’.","Beide benen, klein bereik.","1-been, traprand voor grotere ROM.",Achilles irritatie: doseer volume.,https://www.kentmedwaymentalhealth.nhs.uk/media/2610/km1237-physiotherapy-strength-exercise-guide-1.pdf,strength,ankle_foot,unstable_weak,medium,medium,chair_step,ankle_calf,
Strength,Farmer carry (loaded carry),2 gewichten / boodschappentassen,"1) Pak gewichten, schouders laag. 2) Loop rustig 20–60 sec. 3) Core strak, niet ‘hangen’ in heup. 3–5 rondes.","Grip, core, bovenrug. Je voelt jezelf ‘lang’ worden.","Functionele totale kracht, houding, grip.",Heel ‘real life’: tillen en lopen is het leven.,"Lichter, korter.","Zwaarder, 1-arm (suitcase carry).",Rugpijn: lichter en symmetrisch.,https://www.nhs.uk/live-well/exercise/strength-exercises/,stability|strength,fullbody,unstable_weak,medium,medium,weights,carry,
Latest,Qigong (basale flow: adem + zachte beweging),Geen,"1) Sta ontspannen. 2) Beweeg langzaam door eenvoudige patronen (armen openen/sluiten, gewicht verplaatsen). 3) Adem rustig mee; focus op houding en ontspanning.","Meer ‘kalme energie’ dan spierpomp: zacht warm worden, ontspanning in schouders/nek.","Rustig bewegen, coördinatie, stressreductie-achtige toepassing.",Hype in ‘mindful movement’ hoek: laagdrempelig en vaak toegankelijk voor beginners.,"Zittend uitvoeren, korter (3–5 min).","Langere sessie, complexere vormen.",Geen scherpe pijn; houd bewegingen klein als je duizelig wordt.,https://www.nccih.nih.gov/health/qigong-what-you-need-to-know,relax|trend,fullbody,stressed_tense,low,medium,none,flow,
